shape,rmse
167188,0.163688978
162949,0.074417687
163433,0.07643696900000001
163967,0.079000101
164293,0.080699851
164584,0.082321452
164855,0.08387970900000001
165051,0.085109991
165242,0.086439161
165420,0.08782575599999999
165565,0.08906906199999999
165718,0.090470656
165842,0.09187522099999999
165929,0.092735064
166036,0.093869362
163265,0.07573119
163117,0.07513439
163596,0.077333162
163320,0.076159861
163808,0.078414946
163434,0.07679328099999999
163995,0.079482469
163538,0.07743075099999999
164159,0.080427287
163645,0.078093382
164297,0.081324192
163703,0.07849009400000001
164418,0.082197042
163773,0.079024802
164535,0.083182279
163834,0.079501452
164626,0.083975874
163888,0.080013823
164733,0.08496874199999999
163934,0.080537842
164811,0.085994813
163980,0.080987765
164870,0.08663681300000001
164008,0.081297106
164941,0.087450397
164044,0.08171210599999999
163764,0.07802529799999999
163636,0.07744072099999999
163976,0.07910764299999999
163750,0.07807202099999999
164163,0.080168441
163854,0.078683924
164327,0.08110991
163961,0.079344491
164465,0.081997175
164019,0.07973803900000001
164586,0.08287246200000001
164089,0.080269702
164703,0.083845067
164150,0.080736545
164794,0.08462516699999999
164204,0.081252731
164901,0.085605919
164250,0.081755602
164979,0.08663001
164296,0.08222043799999999
165038,0.087272647
164324,0.082499685
165109,0.08806499
164360,0.082916604
164179,0.080074342
164081,0.079629467
164366,0.081132512
164185,0.080235787
164530,0.08206580599999999
164292,0.080886156
164668,0.082930495
164350,0.081271199
164789,0.083808106
164420,0.081790321
164906,0.084757599
164481,0.082260414
164997,0.08554376699999999
164535,0.082754022
165104,0.08650902699999999
164581,0.083247965
165182,0.087519187
164627,0.083710461
165241,0.08814932199999999
164655,0.08399984
165312,0.08895106400000001
164691,0.084399584
164480,0.081739776
164397,0.081286815
164644,0.082657669
164504,0.081939588
164782,0.083525778
164562,0.082320215
164903,0.084392385
164632,0.08283261
165020,0.0853575
164693,0.083287351
165111,0.086126126
164747,0.083778733
165218,0.08709418599999999
164793,0.08427958699999999
165296,0.08809131199999999
164839,0.084739766
165355,0.088726822
164867,0.08500994199999999
165426,0.089518664
164903,0.085413066
164748,0.083251033
164691,0.08295271
164886,0.08411453199999999
164749,0.083342608
165007,0.084976502
164819,0.08385315
165124,0.08592193199999999
164880,0.084299359
165215,0.08670841300000001
164934,0.084786753
165322,0.087663354
164980,0.085279749
165400,0.08864361800000001
165026,0.08572830199999999
165459,0.089269241
165054,0.086013643
165530,0.090060708
165090,0.08641119
164993,0.08473708
164913,0.08426489
165114,0.085600779
164983,0.08476685699999999
165231,0.08654574400000001
165044,0.085215779
165322,0.08730148300000001
165098,0.085701081
165429,0.088271733
165144,0.08619174800000001
165507,0.089249416
165190,0.086633074
165566,0.089877388
165218,0.086907215
165637,0.090664157
165254,0.087296749
165172,0.085965896
165121,0.08560304699999999
165289,0.08692081800000001
165182,0.086051906
165380,0.08766827
165236,0.086534631
165487,0.088622676
165282,0.087017593
165565,0.08960808599999999
165328,0.087460538
165624,0.090230892
165356,0.087733511
165695,0.091013342
165392,0.088123545
165359,0.08738461800000001
165303,0.08689809300000001
165450,0.08814740900000001
165357,0.087363557
165557,0.089094941
165403,0.08784965300000001
165635,0.090074902
165449,0.088297567
165694,0.090705566
165477,0.088576556
165765,0.091479145
165513,0.088948963
165511,0.08858223300000001
165474,0.088309297
165618,0.089529088
165520,0.088773961
165696,0.09049917
165566,0.089215412
165755,0.091108806
165594,0.089480128
165826,0.09189939800000001
165630,0.089867896
165672,0.09000909
165611,0.08953527800000001
165750,0.090983138
165657,0.089979849
165809,0.09159086
165685,0.090246411
165880,0.09237759599999999
165721,0.090611032
165796,0.091438171
165764,0.09090264099999999
165855,0.09204210800000001
165792,0.091175195
165926,0.092817969
165828,0.09155234699999999
165901,0.092479188
165870,0.092131058
165972,0.093247367
165906,0.092504678
166000,0.0935
165965,0.09310836300000001
