vif_feature,rmse
init,0.16375896944695423
taxvaluedollarcnt,0.16377089586081992
landtaxvaluedollarcnt,0.16377970930773628
structuretaxvaluedollarcnt,0.16376738559550164
assessmentyear,0.1637582208054415
latitude,0.1637636245528617
longitude,0.16376313633418574
bathroomcnt,0.16375260394601915
bedroomcnt,0.16376753625663218
roomcnt,0.16376018335201603
unitcnt_fill,0.16376327703343657
tax+asses,0.16375115495287754
bath+asses,0.1637367666281246
