iter	MAE
0	0.05277823726
1	0.0526432736
2	0.05255784238
3	0.05247091939
4	0.05241828468
5	0.05238436007
6	0.05231755362
7	0.05229261669
8	0.05227140176
9	0.05224779703
10	0.05222969921
11	0.05220570113
12	0.0521728601
13	0.05216197246
14	0.0521421862
15	0.05212525358
16	0.05209916259
17	0.05207827792
18	0.05206739028
19	0.05204929246
20	0.05203804487
21	0.05200843598
22	0.05199349238
23	0.05198254166
24	0.05197405123
25	0.05196095935
26	0.05194415661
27	0.05193621539
28	0.05192789566
29	0.05191350498
30	0.05190825784
31	0.05189780808
32	0.05188939929
33	0.05188348419
34	0.05187402152
35	0.05186100386
36	0.05184748894
37	0.0518428949
38	0.05183448611
39	0.05182529433
40	0.05181762771
41	0.05180767521
42	0.05179492101
43	0.05178502788
44	0.05177438516
45	0.05176324519
46	0.05175592739
47	0.05174870607
48	0.05173709111
49	0.0517282667
50	0.05171854798
51	0.05171201688
52	0.05169905488
53	0.05169077968
54	0.05167958775
55	0.05166844778
56	0.05165725956
57	0.05164172594
58	0.0516366866
59	0.05163081603
60	0.05162529057
61	0.05161554217
62	0.05161005382
63	0.0516065248
64	0.05159946305
65	0.05159437547
66	0.0515799885
67	0.05157096
68	0.05156859248
69	0.05155265066
70	0.05154608245
71	0.05153923593
72	0.05153222984
73	0.05152655595
74	0.05152275604
75	0.05150982001
76	0.05150504043
77	0.05150353383
78	0.05149650177
79	0.05149187062
80	0.05148218159
81	0.05146549389
82	0.05146328965
83	0.05145842101
84	0.0514530848
85	0.05144074622
86	0.05143788887
87	0.05143378096
88	0.05142987714
89	0.05142121972
90	0.05140602379
91	0.05140075067
92	0.05139565938
93	0.05139048274
94	0.05138040778
95	0.05137767659
96	0.05137294897
97	0.05136777233
98	0.05136104085
99	0.05135270998
100	0.05134981181
101	0.0513344192
102	0.05132807364
103	0.05131790591
104	0.05131357163
105	0.05130976801
106	0.05130687355
107	0.0513030959
108	0.05130079146
109	0.05128746208
110	0.05128297566
111	0.05126934942
112	0.05126252516
113	0.05125929301
114	0.05125253184
115	0.05124682084
116	0.05123397387
117	0.05122441101
118	0.05122208801
119	0.05121783909
120	0.05121368665
121	0.05121082558
122	0.05120473978
123	0.05119962252
124	0.05119068308
125	0.05118222605
126	0.05117615139
127	0.05117332743
128	0.05116558659
129	0.05116155661
130	0.05115731881
131	0.05114615657
132	0.05114302833
133	0.05114006707
134	0.05113162488
135	0.05112921654
136	0.05112533128
137	0.05111830663
138	0.05111320421
139	0.05110780492
140	0.05110560068
141	0.05109571497
142	0.05108923211
143	0.05108189576
144	0.05107678963
145	0.05107573204
146	0.05107426625
147	0.05106478873
148	0.05106014275
149	0.05105490303
150	0.05104802682
151	0.05104171095
152	0.05103862723
153	0.05103657513
154	0.05102568007
155	0.05101884839
156	0.05101594651
157	0.05101268096
158	0.05100941912
159	0.05100340383
160	0.05099904729
161	0.0509970323
162	0.05099513976
163	0.05098966997
164	0.05098295704
165	0.05097800305
166	0.05097359085
167	0.05096660703
168	0.05096146008
169	0.05094787094
170	0.05094677995
171	0.05094240485
172	0.05093480503
173	0.05092772102
174	0.05092360197
175	0.05091476643
176	0.05091045442
177	0.05089918828
178	0.05089312846
179	0.05088584035
180	0.05088186231
181	0.05087962096
182	0.05087730168
183	0.05087082995
184	0.05086579804
185	0.05086248425
186	0.05085673614
187	0.0508523796
188	0.05084548855
189	0.0508400002
190	0.05083656024
191	0.05083152461
192	0.05082663371
193	0.05082352773
194	0.05082141997
195	0.05082029187
196	0.05081505586
197	0.05081280708
198	0.05080855073
199	0.05080672128
200	0.05080386393
201	0.05079683187
202	0.05079521393
203	0.05079174058
204	0.05078789242
205	0.05078231873
206	0.05077881939
207	0.0507757097
208	0.05076940496
209	0.05076779445
210	0.05076443984
211	0.05076169381
212	0.05075492151
213	0.05075008998
214	0.05074752578
215	0.05074375927
216	0.05074050856
217	0.05073716509
218	0.05072603253
219	0.05072416597
220	0.05071912664
221	0.0507153527
222	0.05071004989
223	0.05070525176
224	0.05070353364
225	0.05070156689
226	0.05069772987
227	0.05069039722
228	0.05068540613
229	0.05068358039
230	0.05067221776
231	0.0506683993
232	0.05066225784
233	0.05065525175
234	0.05064886538
235	0.05064492074
236	0.05064005581
237	0.05063882381
238	0.05063395518
239	0.05062765044
240	0.05062032151
241	0.05061944946
242	0.05061545658
243	0.05061011667
244	0.05060721478
245	0.05060271352
246	0.05059763707
247	0.05059384087
248	0.05058767344
249	0.05058660842
250	0.05057939082
